"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","Admin can list rate limit rules","Smoke Tests","Wed Feb 18 11:51:50 UTC 2026","passed","Wed Feb 18 11:51:50 UTC 2026","ua.kpi.sc.test.api.tests.ratelimit.RateLimitAdminTest","Smoke","ua.kpi.sc.test.api.tests.ratelimit.RateLimitAdminTest","listRules_returns200"
"","185","GET /users/me returns current user profile","Smoke Tests","Wed Feb 18 11:51:52 UTC 2026","passed","Wed Feb 18 11:51:52 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","getMeReturns200"
"","643","Get 2FA status for user without TOTP returns enabled=false","Smoke Tests","Wed Feb 18 11:51:47 UTC 2026","passed","Wed Feb 18 11:51:48 UTC 2026","ua.kpi.sc.test.api.tests.auth.mfa.TotpStatusTest","Smoke","ua.kpi.sc.test.api.tests.auth.mfa.TotpStatusTest","statusWithout2faReturnsDisabled"
"","5745","Full flow: register -> forgot -> MailPit -> extract token -> reset -> login with new password","Smoke Tests","Wed Feb 18 11:51:43 UTC 2026","passed","Wed Feb 18 11:51:49 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthPasswordResetFlowTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthPasswordResetFlowTest","fullPasswordResetFlow"
"","4142","Register -> getMe: user data matches registration request","Smoke Tests","Wed Feb 18 11:51:43 UTC 2026","passed","Wed Feb 18 11:51:47 UTC 2026","ua.kpi.sc.test.api.tests.auth.AuthFlowTest","Smoke","ua.kpi.sc.test.api.tests.auth.AuthFlowTest","fullRegistrationToMeFlow"
"","182","Get notifications returns 200 with list response","Smoke Tests","Wed Feb 18 11:51:53 UTC 2026","passed","Wed Feb 18 11:51:53 UTC 2026","ua.kpi.sc.test.api.tests.notification.NotificationListTest","Smoke","ua.kpi.sc.test.api.tests.notification.NotificationListTest","shouldListNotifications"
"","183","List feature flags returns paginated response","Smoke Tests","Wed Feb 18 11:51:53 UTC 2026","passed","Wed Feb 18 11:51:53 UTC 2026","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","Smoke","ua.kpi.sc.test.api.tests.featureflag.FeatureFlagAdminTest","listFlagsReturnsPaginatedResponse"
"","177","Update self profile returns 200","Smoke Tests","Wed Feb 18 11:51:52 UTC 2026","passed","Wed Feb 18 11:51:52 UTC 2026","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","Smoke","ua.kpi.sc.test.api.tests.user.UserSelfUpdateTest","updateSelfReturns200"
"","7","baseUrlIsValidFormat","Smoke Tests","Wed Feb 18 11:51:53 UTC 2026","passed","Wed Feb 18 11:51:53 UTC 2026","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","Smoke","ua.kpi.sc.test.api.tests.framework.ConfigurationTest","baseUrlIsValidFormat"
"","1331","Assign partner level returns 201","Smoke Tests","Wed Feb 18 11:51:51 UTC 2026","passed","Wed Feb 18 11:51:52 UTC 2026","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","Smoke","ua.kpi.sc.test.api.tests.user.UserAssignPartnerTest","assignPartnerLevelReturns201"
